spec,outcome,term,coef,se,ci_low,ci_high,p,n_obs,n_countries,years,r2_within
sub_feat_pua_pct,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.00043162289032057713,0.12691672414139943,-0.2503700692326993,0.24950682345205813,0.9972891901320273,308,44,2017-2023,0.004139861007595891
sub_feat_pua_pct,out_anaemia_wra_fs_pct,log_gdp_pc_constant,-0.931052410086222,3.049200686250205,-6.935875551112244,5.0737707309398,0.7603539437186961,308,44,2017-2023,0.004139861007595891
sub_feat_pua_pct,out_anaemia_wra_fs_pct,feat_pua_pct,0.00824891410896089,0.04527463419433333,-0.08091090155602632,0.0974087297739481,0.8555726826044121,308,44,2017-2023,0.004139861007595891
sub_feat_hospital_beds_per1000,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.41691727889262176,0.3265430327408401,-1.0604065584833293,0.2265720006980858,0.20300876188627415,295,48,2003-2023,0.10643684675460541
sub_feat_hospital_beds_per1000,out_anaemia_wra_fs_pct,log_gdp_pc_constant,3.5132338470358726,2.5247520883400063,-1.4620702923130273,8.488537986384772,0.16544923617211782,295,48,2003-2023,0.10643684675460541
sub_feat_hospital_beds_per1000,out_anaemia_wra_fs_pct,feat_hospital_beds_per1000,0.5522008077140369,1.5292458551034238,-2.461347836573127,3.565749452001201,0.7183698446217122,295,48,2003-2023,0.10643684675460541
sub_feat_health_exp_pc_usd,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.03902677202449719,0.18140646887210027,-0.39505677960321056,0.3170032355542162,0.8297113819946427,969,48,2003-2023,0.10542692925929453
sub_feat_health_exp_pc_usd,out_anaemia_wra_fs_pct,log_gdp_pc_constant,0.5839846344221463,1.664686679440148,-2.6831447837416795,3.8511140525859724,0.7258150209411789,969,48,2003-2023,0.10542692925929453
sub_feat_health_exp_pc_usd,out_anaemia_wra_fs_pct,feat_health_exp_pc_usd,0.015447576785526433,0.007980447641975941,-0.00021492330126732587,0.031110076872320192,0.05322075852500596,969,48,2003-2023,0.10542692925929453
sub_feat_sth_pc_coverage_sac_pct,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.037082395517065825,0.17198647612145032,-0.30056625818071137,0.374731049214843,0.8293503789047079,796,47,2005-2023,0.02240102903486363
sub_feat_sth_pc_coverage_sac_pct,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.6444758882030146,1.6154676050009789,-1.527055235766114,4.816007012172143,0.30903676148311865,796,47,2005-2023,0.02240102903486363
sub_feat_sth_pc_coverage_sac_pct,out_anaemia_wra_fs_pct,feat_sth_pc_coverage_sac_pct,-0.007212574932616597,0.004631407036322111,-0.01630508258674334,0.001879932721510145,0.11982952762120203,796,47,2005-2023,0.02240102903486363
