exposure,lag,income,controls,estimator,coef_per_within_sd,ci_low,ci_high,p,n_obs,sd_within,spec_id,excludes_zero
feat_gd_logstock_anaemia,3,constant,none,ldv,-0.0355999706874556,-0.08724565467506327,0.016045713300152073,0.17668711319878694,994,0.625717443460475,127,False
feat_gd_logstock_anaemia_policies,3,current,none,fd,-0.03546377739509606,-0.0716185447569179,0.000690989966725771,0.05454222620353543,955,0.5484919849185141,128,False
feat_gd_logstock_anaemia_policies,2,constant,none,ldv,-0.03542296143621017,-0.08785236047664975,0.017006437604229426,0.18543208121796384,1041,0.5576785100415028,129,False
feat_gd_stock_anaemia_policies,5,constant,context,ldv,-0.03538726315485002,-0.0877851014030858,0.017010575093385764,0.1856106702332656,843,1.607879878961016,130,False
feat_gd_stock_anaemia_policies,5,current,context,ldv,-0.035187131273849884,-0.08785153689009195,0.017477274342392185,0.19035558355256,851,1.6023202989905843,131,False
feat_gd_logstock_anaemia_policies,3,current,none,ldv,-0.034255704536275605,-0.0875340952639452,0.01902268619139399,0.20760724711941148,1004,0.5569616530575361,132,False
feat_gd_logstock_anaemia_policies,3,constant,none,fd,-0.03337777797176809,-0.07000963637147678,0.0032540804279406117,0.07412249455579584,945,0.5472310500480517,133,False
feat_gd_logstock_anaemia_policies,3,constant,none,ldv,-0.032966291036169396,-0.08640208229375665,0.020469500221417858,0.2265990687573085,994,0.5563901091064031,134,False
feat_gd_logstock_anaemia_policies,5,current,none,ldv,-0.03259630178152335,-0.08751978990627737,0.022327186343230665,0.24474411158934706,908,0.5412888087109649,135,False
feat_gd_logstock_anaemia_policies,5,constant,none,ldv,-0.031600926679641074,-0.08668060131415734,0.0234787479548752,0.26080417246931753,900,0.5421397077847278,136,False
feat_gd_stock_anaemia_policies,3,current,context,ldv,-0.0315548135514501,-0.08400251315938896,0.02089288605648876,0.23831876832919652,941,1.6933626911112152,137,False
feat_gd_stock_anaemia_policies,2,current,context,ldv,-0.031489985253076405,-0.08246145969126464,0.019481489185111833,0.22594968604263554,986,1.7165552910915076,138,False
feat_gd_stock_anaemia_policies,3,current,none,fe_trend,-0.03112974552077639,-0.2069659451654663,0.1447064541239135,0.7285997835621989,1004,1.6525873533211561,139,False
feat_gd_stock_anaemia_policies,3,constant,context,ldv,-0.031066522832990346,-0.08309703601917415,0.02096399035319345,0.24189606363451666,931,1.6975000168815195,140,False
feat_gd_stock_anaemia_policies,2,constant,context,ldv,-0.03069408016772623,-0.08107483472052184,0.019686674385069387,0.2324417050878752,975,1.719666302918047,141,False
feat_gd_logstock_anaemia_policies,2,current,context,fd,-0.030462477316525436,-0.06026750229959701,-0.0006574523334538615,0.04515606911831183,940,0.5594090070192544,142,True
feat_gd_logstock_anaemia,5,current,context,ldv,-0.030051026751776594,-0.07913036862019454,0.019028315116641346,0.23010990574220536,851,0.6277141703143764,143,False
feat_gd_logstock_anaemia_policies,2,current,context,ldv,-0.029443857398198662,-0.07306173801544347,0.014174023219046143,0.18581674481203925,986,0.5689737190265929,144,False
feat_gd_logstock_anaemia,2,current,context,ldv,-0.029076546640304513,-0.06908794677193697,0.010934853491327943,0.15435424543113765,986,0.6214808086878163,145,False
feat_gd_logstock_anaemia,5,constant,context,ldv,-0.02904680652283901,-0.07766353118499068,0.01956991813931267,0.24159455997905044,843,0.6287586402682158,146,False
feat_gd_stock_anaemia_policies,3,constant,none,fe_trend,-0.028569374820224022,-0.20853688607781373,0.1513981364373657,0.7556948092451614,994,1.6561431278819485,147,False
feat_gd_logstock_anaemia,3,current,context,ldv,-0.028535085523787106,-0.07181346978884498,0.014743298741270772,0.19626059947768393,941,0.6254075610938832,148,False
feat_gifna_anemia_programming_intensity,2,current,none,fd,-0.028348240994612296,-0.08955148415949113,0.03285500217026654,0.36397330253467264,1003,3.3044274667955325,149,False
feat_gd_logstock_anaemia_policies,3,current,context,fd,-0.028205512742723874,-0.06631814763448017,0.009907122149032423,0.1469234366894539,895,0.5579960684624821,150,False
feat_gd_logstock_anaemia_policies,3,current,context,ldv,-0.027958452807031933,-0.07387344911750661,0.017956543503442755,0.2326905554194233,941,0.5666089521871309,151,False
feat_gd_logstock_anaemia_policies,2,constant,context,ldv,-0.027476921624325124,-0.07020433458977182,0.015250491341121575,0.20752387395634753,975,0.5675125739772408,152,False
feat_gd_any_fortification,5,constant,context,ldv,-0.02726607910949384,-0.06106446721231821,0.00653230899333053,0.11384231275936912,843,0.24649055701859537,153,False
