iso3,year,malaria_incidence_per1000,fertility_rate,urban_pct,employment_pop_pct,hiv_prev_pct,health_exp_pc_usd,sanitation_basic_pct,open_defecation_pct
CIV,2003,509.61,5.572,44.2593744150531,62.072,5.7,43.81231308,22.0684596804749,35.1985776828354
CIV,2004,500.36,5.527,44.667357886658,62.169,5.3,47.04700851,22.7442737383766,34.2256427917453
CIV,2005,466.34,5.499,45.082298743724,62.239,4.9,46.69436264,23.5549453716697,33.2629688638099
CIV,2006,425.61,5.448,45.5035131674326,62.383,4.6,47.08904266,24.3743169320385,32.3095650332623
CIV,2007,391.51,5.403,45.930317338965,62.347,4.3,56.15083694,25.2023258965762,31.365464339424
CIV,2008,392.97,5.357,46.3620274395029,62.421,4.0,64.67678833,26.0389018909406,30.4307002057202
CIV,2009,426.16,5.332,46.7979596502274,62.433,3.8,71.06480408,26.8833706227341,29.5061948139995
CIV,2010,458.12,5.292,47.2374301523201,62.549,3.6,70.04605103,27.736273942075,28.5910535093175
CIV,2011,461.58,5.244,47.6797551269623,62.326,3.4,67.97618103,28.5975387967836,27.6853086565929
CIV,2012,375.19,5.19,48.1242507553354,62.411,3.2,69.86203003,29.4667970282772,26.7894038453444
CIV,2013,287.39,5.135,48.5702332186208,64.302,3.1,67.13149261,30.3439798658214,25.9033380974425
CIV,2014,243.25,5.071,49.0173144557368,64.855,2.9,74.3581543,31.2290182892459,25.0271112047906
CIV,2015,242.12,4.97,49.4694894689553,65.217,2.7,58.43181992,32.1245714539308,24.1573772340895
CIV,2016,258.1,4.873,49.929991034032,65.562,2.6,61.85705566,33.0299664803717,23.2951720645301
CIV,2017,268.54,4.757,50.3977309654344,63.958,2.5,63.77943039,33.945429522791,22.4403930668268
CIV,2018,280.22,4.596,50.8718477756395,63.541,2.3,65.87952423,34.8708875943719,21.5933193214765
CIV,2019,292.76,4.523,51.3514799771241,63.131,2.2,68.30471039,35.8059580233634,20.7545588138758
CIV,2020,295.66,4.461,51.8357660823651,63.214,2.1,78.97766876,36.7505613601134,19.9243569950964
CIV,2021,283.64,4.411,52.3183461956059,64.496,2.0,92.39588928,37.704616869195,19.1029560720673
CIV,2022,280.87,4.349,52.8492549676673,65.598,1.9,84.89915466,38.6680398290793,18.2906015881025
CIV,2023,269.25,4.283,53.4075201638704,65.61,1.8,87.68105316,39.6407426651959,17.4875420061576
CIV,2024,267.95,4.23,53.9733113940142,65.583,1.7,,40.4070687976128,16.6940217986522
CIV,2025,,,54.5489501450761,65.532,,,,
CMR,2000,394.85,5.514,46.2449829402599,75.776,5.5,30.438097,37.5661811000038,8.32387818258556
CMR,2001,426.29,5.441,46.7627509050978,75.796,5.6,29.82297325,37.7799954148968,8.13636982438164
CMR,2002,437.17,5.435,47.2589242513436,76.367,5.7,31.79577446,37.9947075137207,7.95084093852736
CMR,2003,441.4,5.432,47.7325523560061,76.985,5.6,38.56394196,38.3633336781567,7.76743200985819
CMR,2004,438.73,5.436,48.1826845960942,77.627,5.6,42.25278473,38.736762781943,7.5860211168047
CMR,2005,435.58,5.421,48.5837852394685,78.167,5.5,43.10830688,39.1141100533379,7.40699257861123
CMR,2006,425.95,5.369,49.2044173412861,78.698,5.4,44.52022934,39.4959944299355,7.23009606927786
CMR,2007,409.95,5.343,49.7027028593758,79.223,5.2,50.30911255,39.8824343932762,7.05533742543322
CMR,2008,391.63,5.294,50.0858325268669,77.304,5.1,54.58909225,40.2734502147764,6.88272229601191
CMR,2009,351.15,5.236,50.4714131335678,75.254,5.0,51.14823914,40.6687438087427,6.71237157797848
CMR,2010,295.67,5.154,50.8505075371362,73.097,4.8,50.03335571,41.0686436848584,6.54417185035239
CMR,2011,266.6,5.052,51.2229843034125,72.237,4.7,58.33031845,41.47285114669,6.37824208790075
CMR,2012,261.14,4.982,51.5887119982861,71.371,4.5,56.96441269,41.8813685431632,6.21458069372382
CMR,2013,271.1,4.905,51.9475591877024,70.475,4.3,57.22771454,42.2938755253473,6.05329710477614
CMR,2014,272.51,4.844,52.2993944376709,69.551,4.1,71.61038208,42.7103744161323,5.894385733666
CMR,2015,271.06,4.841,52.6440863142742,68.65,3.9,58.38298035,43.1308620153925,5.73784027389134
CMR,2016,268.53,4.842,52.9815033836792,67.747,3.7,57.99372482,43.555339313602,5.58365624110511
CMR,2017,258.98,4.804,53.3115142121504,66.832,3.5,56.7457695,43.9831129823405,5.43202934293341
CMR,2018,248.98,4.74,53.6339873660653,65.919,3.4,58.32909393,44.4148640176423,5.28274495974733
CMR,2019,243.44,4.651,53.9487914119331,65.003,3.2,56.79493713,44.8498829146317,5.13599220648208
CMR,2020,264.81,4.557,54.2557949164174,63.358,3.1,66.17185211,45.2885112207418,4.99165752360627
CMR,2021,270.65,4.468,54.5548664463635,62.718,2.9,72.59731293,45.7300133468788,4.84991860415716
CMR,2022,265.03,4.397,54.8458745688318,63.185,2.8,72.12950897,46.1747220268822,4.71066069048736
CMR,2023,259.08,4.322,55.1286878511388,63.188,2.7,79.09996796,46.6226225275107,4.57386595710919
CMR,2024,260.46,4.261,55.4031748609078,63.168,2.5,,47.0729484414837,4.43969509442749
CMR,2025,,,55.6692041661323,62.823,,,,
COD,2000,458.24,6.702,34.9008752617485,70.174,2.1,17.52071953,23.7477310886232,10.4570877705557
COD,2001,457.6,6.663,35.4153526820763,70.177,2.0,5.4341011,23.2925757259411,10.5569932785044
COD,2002,460.7,6.606,35.937064393184,70.242,1.9,4.17578602,22.8409794207926,10.6552219952984
COD,2003,467.36,6.549,36.4654627231369,70.348,1.8,6.03257608,22.3929738740922,10.7517585190445
COD,2004,467.62,6.53,37.0,70.419,1.8,7.83304834,21.9485957968142,10.8465927820612
COD,2005,468.33,6.526,37.4018738621901,70.442,1.7,8.55065727,21.5079480867388,10.939196570225
COD,2006,464.8,6.547,37.8024827128113,69.418,1.6,10.37645721,21.0891369417888,11.0292809223702
COD,2007,448.32,6.559,38.201781337298,68.38,1.5,11.5629034,20.6788073735842,11.1168095683432
COD,2008,429.83,6.58,38.5997245210844,67.334,1.4,15.36659527,20.2769257473546,11.2020074308262
COD,2009,405.23,6.591,38.9962670496049,66.255,1.4,12.75762081,19.8835866395137,11.2845788931419
COD,2010,381.32,6.587,39.391363708294,65.191,1.3,12.1423111,19.4987263873328,11.3647570667377
COD,2011,360.23,6.582,39.7849692825859,64.116,1.2,11.89942932,19.1224518584775,11.4422376679405
COD,2012,335.8,6.559,40.1770385579151,63.064,1.2,13.20595551,18.754668067258,11.5172591570224
COD,2013,310.49,6.527,40.5675263197158,62.839,1.1,15.37901688,18.3953621300218,11.5897924309303
COD,2014,297.36,6.483,40.9563873534225,62.626,1.1,18.22281265,18.044594889942,11.6596675237396
COD,2015,303.04,6.437,41.3435764444694,62.391,1.0,18.57252884,17.7022823048892,11.7269927680648
COD,2016,310.28,6.392,41.7290483782911,62.081,1.0,19.3114109,17.3684018777428,11.7917383415574
COD,2017,324.07,6.349,42.1127579403217,61.769,0.9,18.14648819,17.0428367247806,11.8540205546605
COD,2018,337.42,6.302,42.4946599159958,61.53,0.9,17.29077148,16.7256345274003,11.9136668322075
COD,2019,339.77,6.253,42.8747090907476,61.335,0.9,19.20812035,16.416662028181,11.9707970340757
