iso3,year,gdp_pc_constant_2015_usd
SEN,2016,1257.40906916238
SEN,2017,1312.10932775878
SEN,2018,1355.09610863533
SEN,2019,1379.60875249843
SEN,2020,1361.7914374888
SEN,2021,1414.53951093499
SEN,2022,1433.19918752288
SEN,2023,1458.9664233275
SEN,2024,1517.61838829684
SEN,2025,1582.25852286375
SLE,2000,727.240914632596
SLE,2001,642.036645844304
SLE,2002,766.788693742901
SLE,2003,806.066489012144
SLE,2004,829.759768928304
SLE,2005,842.906030904902
SLE,2006,859.824260714965
SLE,2007,872.68836234614
SLE,2008,882.54147817868
SLE,2009,872.23959352481
SLE,2010,902.769891411394
SLE,2011,950.760763054593
SLE,2012,1025.04366004502
SLE,2013,1146.81973456475
SLE,2014,1032.23789355905
SLE,2015,964.575980888989
SLE,2016,1002.77862282013
SLE,2017,1010.54694071207
SLE,2018,1015.6678297205
SLE,2019,1046.96778078594
SLE,2020,1010.25294614757
SLE,2021,1045.7661615758
SLE,2022,1077.08884538507
SLE,2023,1113.86837500697
SLE,2024,1137.29005648131
SLE,2025,1165.72408271963
SOM,2000,233.032393086303
SOM,2001,239.839074088089
SOM,2002,248.636454000924
SOM,2003,257.910337235953
SOM,2004,266.257271856551
SOM,2005,275.457040797983
SOM,2006,284.47078986532
SOM,2007,294.210404466601
SOM,2008,304.741448811237
SOM,2009,317.038184814662
SOM,2010,329.970504936872
SOM,2011,349.577449077711
SOM,2012,369.617204753489
SOM,2013,397.108796344814
SOM,2014,417.516796906402
SOM,2015,445.583080073396
SOM,2016,458.92147682461
SOM,2017,506.501098879426
SOM,2018,498.981065013918
SOM,2019,494.444039712384
SOM,2020,462.867053737278
SOM,2021,461.627830726021
SOM,2022,460.046226685238
SOM,2023,464.72106952561
SOM,2024,467.269910194458
SOM,2025,465.439392877227
SSD,2008,2289.18415375563
SSD,2009,2293.80166888543
SSD,2010,2295.07026096006
SSD,2011,2073.23981819145
SSD,2012,1069.19619080938
SSD,2013,1165.16202707495
SSD,2014,1197.09491969479
SSD,2015,1080.14718624765
STP,2000,959.938180991352
STP,2001,973.424252100436
STP,2002,982.32906557627
STP,2003,1036.86196260207
STP,2004,1047.05796134884
STP,2005,1089.14778798762
STP,2006,1157.0861446542
STP,2007,1170.51612474435
STP,2008,1214.14114724792
STP,2009,1225.60541902997
STP,2010,1216.3502521663
STP,2011,1214.96130276731
STP,2012,1225.6945255615
STP,2013,1263.70423995281
STP,2014,1301.32146445028
STP,2015,1298.10946596396
STP,2016,1342.533807689
STP,2017,1375.59403284199
STP,2018,1413.84348618541
STP,2019,1420.66008316091
STP,2020,1430.84119299096
STP,2021,1428.28676097975
STP,2022,1403.23356704678
STP,2023,1380.60169416257
STP,2024,1373.27082138436
STP,2025,1360.14953158233
SWZ,2000,2273.04683761056
SWZ,2001,2283.98316815361
SWZ,2002,2358.56935643468
SWZ,2003,2448.83792077995
SWZ,2004,2522.14342097167
SWZ,2005,2658.75180508187
SWZ,2006,2823.48728215402
SWZ,2007,2928.46845823015
SWZ,2008,2950.67334362132
SWZ,2009,2973.83456912379
SWZ,2010,3069.52175725884
SWZ,2011,3108.70225253092
SWZ,2012,3218.50138205493
SWZ,2013,3332.11983927912
SWZ,2014,3381.79292071291
SWZ,2015,3419.82276559528
SWZ,2016,3500.17688847942
SWZ,2017,3596.23605400492
SWZ,2018,3565.54285067501
SWZ,2019,3759.67106964666
SWZ,2020,3609.3669136859
SWZ,2021,3719.03838239806
SWZ,2022,3695.64957179548
SWZ,2023,3790.16576788091
SWZ,2024,3866.37127926695
SWZ,2025,3985.70411891032
SYC,2000,11703.7535246117
SYC,2001,11427.9413083015
SYC,2002,11218.2606464315
SYC,2003,10677.9692081272
SYC,2004,10412.0868936027
SYC,2005,11297.3118190493
SYC,2006,12105.4475265558
SYC,2007,13112.8210098816
SYC,2008,12473.2921769121
SYC,2009,12116.3783687977
SYC,2010,12313.5566919249
SYC,2011,13843.7116081878
SYC,2012,14135.0010570653
SYC,2013,14050.3135581314
SYC,2014,14395.6158118771
SYC,2015,15333.1051727105
SYC,2016,16962.6753972731
SYC,2017,17921.5731976918
SYC,2018,18628.1862276696
SYC,2019,19481.6461053742
SYC,2020,17048.361729788
SYC,2021,17005.0422063679
SYC,2022,15471.2109575418
SYC,2023,16286.8557867673
SYC,2024,16612.6374865452
SYC,2025,17378.7777801503
TCD,2000,530.600331266396
TCD,2001,572.806706826392
TCD,2002,600.171451974963
TCD,2003,661.55691667897
TCD,2004,845.518131165737
TCD,2005,952.871910087319
TCD,2006,914.21066458867
TCD,2007,920.35281567764
TCD,2008,916.08727463451
TCD,2009,871.485311278207
TCD,2010,956.953018707396
TCD,2011,965.286963559567
TCD,2012,1016.42152061942
TCD,2013,1008.61711428961
TCD,2014,993.321157706456
TCD,2015,993.990730610869
TCD,2016,923.565872051196
TCD,2017,879.075895464417
TCD,2018,898.834794005046
TCD,2019,917.203710060136
TCD,2020,884.980541934939
TCD,2021,857.52763057976
TCD,2022,862.602128172536
TCD,2023,856.985507283698
TCD,2024,855.999353179333
TCD,2025,873.528540127688
TGO,2000,730.148392769906
TGO,2001,718.084179469825
TGO,2002,727.322768684689
TGO,2003,757.076842057466
TGO,2004,731.610797958447
TGO,2005,680.485159475257
TGO,2006,678.890227390526
TGO,2007,650.046681355874
TGO,2008,654.896723036341
TGO,2009,668.669623161752
TGO,2010,686.014185396121
TGO,2011,706.442158827353
TGO,2012,733.683602929868
TGO,2013,759.841612443554
TGO,2014,786.587399651446
TGO,2015,813.894676975085
TGO,2016,832.959515987733
TGO,2017,851.735728621337
TGO,2018,876.562800915869
TGO,2019,900.166602437871
TGO,2020,899.748802355348
TGO,2021,928.301087692897
TGO,2022,970.535975822983
TGO,2023,1011.2308927823
TGO,2024,1053.81653764697
TGO,2025,1096.18363113201
TZA,2000,555.348083496094
